City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Ribeira Grande,PT,2020-02-19 03:51:49,38.52,-28.7,56.17,87,33,13.89
212,Ewa Beach,US,2020-02-19 03:52:28,21.32,-158.01,80.6,78,90,9.17
213,Nakhon Si Thammarat,TH,2020-02-19 03:56:36,8.43,99.97,84.2,83,40,9.17
214,Kabinda,CD,2020-02-19 03:56:36,-6.13,24.48,67.06,95,100,0.83
215,Pevek,RU,2020-02-19 03:56:36,69.7,170.31,-23.06,99,100,4.34
216,Titisee-Neustadt,DE,2020-02-19 03:56:36,47.9,8.17,45.0,70,75,12.75
217,Torbay,CA,2020-02-19 03:56:36,47.67,-52.73,15.01,72,20,12.75
218,Mandalgovi,MN,2020-02-19 03:56:37,45.76,106.27,14.23,81,63,6.85
219,Abalak,RU,2020-02-19 03:56:37,58.13,68.59,24.73,95,99,8.7
220,Anton Lizardo,MX,2020-02-19 03:56:37,19.05,-95.98,73.4,94,40,4.72
221,Alasehir,TR,2020-02-19 03:56:37,38.35,28.52,38.3,82,0,0.51
222,Darhan,MN,2020-02-19 03:56:37,49.49,105.92,7.93,83,0,2.28
223,Avarua,CK,2020-02-19 03:56:37,-21.21,-159.78,80.6,83,100,9.17
224,Ust-Nera,RU,2020-02-19 03:56:38,64.57,143.2,-13.29,97,100,3.06
225,San Carlos De Bariloche,AR,2020-02-19 03:52:09,-41.15,-71.31,53.6,66,75,16.11
226,Mendoza,AR,2020-02-19 03:56:38,-32.89,-68.83,68.0,49,0,4.7
227,Chontalpa,MX,2020-02-19 03:56:38,17.7,-93.52,71.33,91,0,1.92
228,Sao Filipe,CV,2020-02-19 03:56:38,14.9,-24.5,78.64,42,100,16.89
229,Katsuura,JP,2020-02-19 03:56:39,35.13,140.3,55.0,40,75,9.17
230,Matara,LK,2020-02-19 03:53:55,5.95,80.54,77.95,67,2,4.59
231,Velyka Bahachka,UA,2020-02-19 03:56:39,49.79,33.72,35.06,92,1,6.87
232,Mount Gambier,AU,2020-02-19 03:56:39,-37.83,140.77,64.4,63,90,18.34
233,Bilibino,RU,2020-02-19 03:52:39,68.05,166.44,-25.64,97,13,2.01
234,Marovoay,MG,2020-02-19 03:56:39,-16.1,46.63,77.0,94,40,2.24
235,Tuy Hoa,VN,2020-02-19 03:56:40,13.08,109.3,75.45,78,31,19.1
236,Wanaka,NZ,2020-02-19 03:56:40,-44.7,169.15,57.4,58,28,8.03
237,Kholm-Zhirkovskiy,RU,2020-02-19 03:56:40,55.52,33.47,34.56,93,100,9.73
238,Dingle,PH,2020-02-19 03:52:49,11.0,122.67,77.58,79,76,18.86
239,Nenjiang,CN,2020-02-19 03:56:40,49.18,125.22,14.25,74,0,7.9
240,Lagoa,PT,2020-02-19 03:52:33,39.05,-27.98,60.19,75,18,18.68
241,Yuci,CN,2020-02-19 03:56:41,37.68,112.73,44.6,20,33,2.24
242,Naze,JP,2020-02-19 03:56:41,28.37,129.48,62.6,48,75,4.7
243,Acajutla,SV,2020-02-19 03:56:42,13.59,-89.83,82.44,74,69,9.82
244,Whitehorse,CA,2020-02-19 03:56:42,60.72,-135.05,28.4,79,75,19.46
245,Itaituba,BR,2020-02-19 03:56:42,-4.28,-55.98,74.82,89,80,0.25
246,Sobolevo,RU,2020-02-19 03:56:42,54.43,31.9,33.17,92,36,9.84
247,Sapa,PH,2020-02-19 03:56:42,5.15,120.32,82.22,74,97,10.65
248,Yellowknife,CA,2020-02-19 03:52:18,62.46,-114.35,-9.0,76,75,10.29
